name,p_nom_max,p_nom,capital_cost,control,carrier,marginal_cost,bus,min_up_time,min_down_time,start_up_cost,ramp_limit_up,ramp_limit_down,p_min_pu,p_max_pu
001.1TU.AMURANG1_1,12.5,12.5,362450.0313,slack,PLTU,63.84643369,SU25_Amurang,12,0,11742.91,0.855172414,0.855172414,1,1
001.1TU.AMURANG1_2,2.5,2.5,,slack,PLTU,61.14992678,SU25_Amurang,12,0,,0.855172414,0.855172414,0,1
001.1TU.AMURANG1_3,2.75,2.75,,slack,PLTU,58.60767934,SU25_Amurang,12,0,,0.855172414,0.855172414,0,1
001.1TU.AMURANG1_4,4,4,,slack,PLTU,54.26805279,SU25_Amurang,12,0,,0.855172414,0.855172414,0,1
002.1TU.AMURANG2,21.75,21.75,362450.0313,slack,PLTU,63.84643369,SU25_Amurang,12,0,11742.91,0.855172414,0.855172414,,
003.5TU.MDT1,25.92,25.92,69963.24557,slack,PLTU,80.10540926,SU25_Amurang,24,0,9880.14,0.231481481,0.231481481,,
004.5TU.MDT2,25.92,25.92,69963.24603,slack,PLTU,80.10540926,SU25_Amurang,24,0,9880.14,0.717592593,0.717592593,,
005.1TU.ANGGREK1,22.5,22.5,420154.6093,slack,PLTU,129.1236792,GO05_Anggrek,12,0,9464.88,0.826666667,0.826666667,,
006.1TU.ANGGREK2,22.5,22.5,420154.6093,slack,PLTU,129.1236792,GO05_Anggrek,12,0,9464.88,0.826666667,0.826666667,,
007.3TU.SULUT3#1,50,47.5,406387.1444,slack,PLTU,41.85597687,SU26_Kema,12,0,19760.27,0.738,0.738,,
008.3TU.SULUT3#2,50,47.5,406387.1444,slack,PLTU,41.85597687,SU26_Kema,12,0,19760.27,0.738,0.738,,
009.3TU.SULBAGUT1#1,50,47.5,484201.1876,slack,PLTU,44.06453684,GO09_Tanjung_Karang,12,0,12916.04,0.738,0.738,,
010.3TU.SULBAGUT1#2,50,47.5,484201.1876,slack,PLTU,44.06453684,GO09_Tanjung_Karang,12,0,12916.04,0.738,0.738,,
011.2TP.LAHENDONG1,18.806,18.806,158446.3252,slack,PLTP,67.14024473,SU27_Lahendong12,11,0,6102.57,0.319047113,0.319047113,,
