name,bus0,bus1,s_nom,x,r
Bitung-MSM 66 kV,SU03_Bitung70,K1_MSM70,704.4683648,15.7481776,4.456318863
Likupang-Bitung 66 kV,SU11_Likupang70,SU03_Bitung70,704.4683648,18.56249072,5.252695229
MSM-Likupang 66 kV,K1_MSM70,SU11_Likupang70,704.4683648,2.814313116,0.796376366
Sawangan-Bitung 66 kV,SU02_Sawangan70,SU03_Bitung70,704.4683648,19.01433512,7.875430207
Sawangan-Ranomuut 66 kV,SU02_Sawangan70,SU01_Ranomuut70,704.4683648,12.95412862,5.365393617
Teling-Ranomuut 66 kV,SU05_Teling70,SU01_Ranomuut70,704.4683648,2.138698941,0.885815282
Tomohon-Tasikria 66 kV,SU06_Tomohon70,SU09_TasikRia70,704.4683648,22.78246959,9.954502501
Tomohon-Teling 66 kV,SU06_Tomohon70,SU05_Teling70,704.4683648,11.20428248,4.640634778
Tomohon-Tonsealama 66 kV,SU06_Tomohon70,SU04_Tonsealama70,704.4683648,6.651975265,2.755141294
Tonsealama-Sawangan 66 kV,SU04_Tonsealama70,SU02_Sawangan70,704.4683648,5.161822649,2.137943831
Amurang - Lopana 150 kV,SU25_Amurang,SU08_Lopana,704.4683648,1.033726472,0.310067021
Anggrek - Tolinggula 150 kV,GO05_Anggrek,GO08_Tolinggula,704.4683648,4.568636675,1.370366724
Boroko - Tanjung Karang 150 kV,SU13_Buroko,GO09_Tanjung_Karang,12.5,1.937159798,0.581052934
GIS Teling - GIS Sario 150 kV,SU14_GIS_Teling150,SU19_GIS_Sario,704.4683648,0.364590761,0.048612112
GIS Teling - Lopana 150 kV,SU14_GIS_Teling150,SU08_Lopana,704.4683648,2.602387973,0.780588636
Gobar - Botupingge 150 kV,GO07_Gorontalo_Baru,GO03_Botupingge,704.4683648,3.158176728,0.947530419
Isimu - Anggrek 150 kV,GO02_Isimu,GO05_Anggrek,704.4683648,1.772688814,0.53171954
Isimu - Gobar 150 kV,GO02_Isimu,GO07_Gorontalo_Baru,704.4683648,1.450571056,0.435100042
Isimu - Tilamuta 150 kV,GO02_Isimu,GO06_Tilamuta,704.4683648,11.48539294,3.445899527
Kawangkoan-LHD12 150 kV,SU07_Kawangkoan,SU27_Lahendong12,704.4683648,0.574838598,0.172423342
Kema-Tanjung Merah 150 kV,SU26_Kema,SU16_TanjungMerah,704.4683648,0.165107049,0.049524005
LHD12-LHD34 150 kV,SU27_Lahendong12,SU28_Lahendong34,704.4683648,0.173492532,0.052039232
LHD34-Tomohon 150 kV,SU28_Lahendong34,SU31_Tomohon150,704.4683648,0.444950566,0.133463314
Likupang-Pandu 150 kV,SU11_Likupang150,SU20_Pandu,704.4683648,2.775199118,0.8326279
Lolak - PLTU Sulut1 150 kV,SU12_Lolak,SU30_PLTUSulut1,704.4683648,1.570932714,0.471223985
Lopana - Otam 150 kV,SU08_Lopana,SU10_Otam,704.4683648,4.088640649,1.226391493
Lopana-Kawangkoan 150 kV,SU08_Lopana,SU07_Kawangkoan,704.4683648,1.281820792,0.384483404
Marisa - BJA,GO04_Marisa,K2_BJA,704.4683648,4.782031626,1.434374992
Marisa - PLTG Maleo 150 kV,GO04_Marisa,GO11_PLTG_Maleo,704.4683648,0.084722197,0.025412504
Otam - Lolak 150 kV,SU10_Otam,SU12_Lolak,704.4683648,2.804795916,0.841301089
Otam - Molibagu 150 kV,SU10_Otam,SU17_Molibagu,704.4683648,2.17386142,0.652051718
Otam - Tutuyan 150 kV,SU10_Otam,SU24_Tutuyan,704.4683648,4.330374737,1.29889949
Paniki - GIS Teling 150 kV,SU15_Paniki,SU14_GIS_Teling150,704.4683648,0.668004152,0.200368415
Paniki-Likupang 150 kV,SU15_Paniki,SU11_Likupang150,704.4683648,1.691552183,0.507382613
PLTU Sulut 1 - Boroko 150 kV,SU30_PLTUSulut1,SU13_Buroko,704.4683648,1.570932714,0.471223985
Tanjung Karang - Anggrek 150 kV,GO09_Tanjung_Karang,GO05_Anggrek,704.4683648,1.570223253,0.470989776
Tanjung Karang - Isimu 150 kV,GO09_Tanjung_Karang,GO02_Isimu,704.4683648,2.277956939,0.683275231
Tanjung Merah - Paniki 150 kV,SU16_TanjungMerah,SU15_Paniki,704.4683648,2.495458828,0.748515067
Tilamuta - Marisa 150 kV,GO06_Tilamuta,GO04_Marisa,704.4683648,3.522361154,1.056535438
PLTP56-Kawangkoan 150 kV,SU29_Lahendong56,SU07_Kawangkoan,704.4683648,1.281820792,0.384483404
Marisa - GSM 150 kV,GO04_Marisa,K3_GSM,704.4683648,4.782031626,1.434374992
