name,bus
K1_MSM70,K1_MSM70
SU01_Ranomuut70,SU01_Ranomuut70
SU02_Sawangan70,SU02_Sawangan70
SU03_Bitung70,SU03_Bitung70
SU04_Tonsealama70,SU04_Tonsealama70
SU05_Teling70,SU05_Teling70
SU06_Tomohon70,SU06_Tomohon70
SU09_TasikRia70,SU09_TasikRia70
SU11_Likupang70,SU11_Likupang70
SU07_Kawangkoan,SU07_Kawangkoan
SU08_Lopana,SU08_Lopana
SU10_Otam,SU10_Otam
SU11_Likupang150,SU11_Likupang150
SU12_Lolak,SU12_Lolak
SU13_Buroko,SU13_Buroko
SU14_GIS_Teling150,SU14_GIS_Teling150
SU15_Paniki,SU15_Paniki
SU16_TanjungMerah,SU16_TanjungMerah
SU17_Molibagu,SU17_Molibagu
SU19_GIS_Sario,SU19_GIS_Sario
SU20_Pandu,SU20_Pandu
SU24_Tutuyan,SU24_Tutuyan
SU25_Amurang,SU25_Amurang
SU26_Kema,SU26_Kema
SU27_Lahendong12,SU27_Lahendong12
SU28_Lahendong34,SU28_Lahendong34
SU29_Lahendong56,SU29_Lahendong56
SU30_PLTUSulut1,SU30_PLTUSulut1
SU31_Tomohon150,SU31_Tomohon150
GO02_Isimu,GO02_Isimu
GO03_Botupingge,GO03_Botupingge
GO04_Marisa,GO04_Marisa
GO05_Anggrek,GO05_Anggrek
GO06_Tilamuta,GO06_Tilamuta
GO07_Gorontalo_Baru,GO07_Gorontalo_Baru
GO08_Tolinggula,GO08_Tolinggula
GO09_Tanjung_Karang,GO09_Tanjung_Karang
GO11_PLTG_Maleo,GO11_PLTG_Maleo
K2_BJA,K2_BJA
K3_GSM,K3_GSM
